alpha_1,alpha_2,N,d,h,nb_layers,nb_head,para_head,loss,unif_loss,best_loss
0.9,0.6,100,10,100,1,1,1,1.8990123796463012,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,5,1.7700042462348937,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,9,1.7220187675952912,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,13,1.6743908989429475,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,17,1.6961324322223663,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,21,1.6604912054538727,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,25,1.632641385793686,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,29,1.6269856226444244,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,33,1.627882479429245,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,37,1.6000452649593353,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,41,1.6138390386104584,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,45,1.597051011323929,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,49,1.576383250951767,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,53,1.625564306974411,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,57,1.6008465850353242,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,61,1.6051489412784576,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,65,1.5997907650470733,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,69,1.5912340652942658,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,73,1.5950177562236787,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,77,1.6024301159381866,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,81,1.5970140182971955,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,85,1.5706414520740508,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,89,1.6148302567005157,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,93,1.5747036230564118,2.922641332571649,1.1857152783870697
0.9,0.6,100,10,100,1,1,97,1.5788268744945526,2.922641332571649,1.1857152783870697
