lamb,N,d,h,nb_layers,nb_head,para_head,loss
9.7051420211792,50,2,0,0,1,1,3.6387566423416136
9.7051420211792,50,2,0,1,1,1,3.656413655281067
9.7051420211792,50,2,0,2,1,1,3.652257685661316
9.7051420211792,50,2,0,3,1,1,3.6522731351852418
9.7051420211792,50,2,0,4,1,1,3.6689619493484495
9.7051420211792,50,4,0,0,1,1,3.6039418172836304
9.7051420211792,50,4,0,1,1,1,3.579910659790039
9.7051420211792,50,4,0,2,1,1,3.55659348487854
9.7051420211792,50,4,0,3,1,1,3.565083341598511
9.7051420211792,50,4,0,4,1,1,3.5457031965255736
9.7051420211792,50,6,0,0,1,1,3.589040961265564
9.7051420211792,50,6,0,1,1,1,3.5307647228240966
9.7051420211792,50,6,0,2,1,1,3.505860152244568
9.7051420211792,50,6,0,3,1,1,3.509200677871704
9.7051420211792,50,6,0,4,1,1,3.4919882726669313
