lamb,N,d,h,nb_layers,nb_head,loss
2,20,12,204,1,1,1.5224803411960601
2,20,12,228,1,1,1.5190234184265137
2,20,13,13,1,1,1.521035487651825
2,20,13,39,1,1,1.5202887523174287
2,20,13,65,1,1,1.5217789375782014
2,20,13,91,1,1,1.5202761602401733
2,20,13,117,1,1,1.517857595682144
2,20,13,143,1,1,1.521258453130722
2,20,13,169,1,1,1.5214686751365663
2,20,13,195,1,1,1.5175501167774201
2,20,13,221,1,1,1.5232331073284149
2,20,13,247,1,1,1.5172614777088165
2,20,14,14,1,1,1.518105504512787
2,20,14,42,1,1,1.5188659965991973
2,20,14,70,1,1,1.515142149925232
2,20,14,98,1,1,1.5133942317962648
2,20,14,126,1,1,1.5183827042579652
2,20,14,154,1,1,1.514144126176834
2,20,14,182,1,1,1.514934698343277
2,20,14,210,1,1,1.5154081511497497
2,20,14,238,1,1,1.5173160350322723
2,20,14,266,1,1,1.5184693551063537
2,20,15,15,1,1,1.5180530738830567
2,20,15,45,1,1,1.5176918017864227
2,20,15,75,1,1,1.5192597913742065
2,20,15,105,1,1,1.5145850837230683
2,20,15,135,1,1,1.519198716878891
2,20,15,165,1,1,1.5183693981170654
2,20,15,195,1,1,1.5165801799297334
2,20,15,225,1,1,1.5139031648635863
2,20,15,255,1,1,1.5148652064800263
2,20,15,285,1,1,1.5159154808521271
2,20,16,16,1,1,1.517892634868622
2,20,16,48,1,1,1.5156825399398803
2,20,16,80,1,1,1.5173880994319915
2,20,16,112,1,1,1.516190048456192
2,20,16,144,1,1,1.5167762768268584
2,20,16,176,1,1,1.5161745178699493
2,20,16,208,1,1,1.5138914108276367
2,20,16,240,1,1,1.5149911105632783
2,20,16,272,1,1,1.5155759370326995
2,20,16,304,1,1,1.5160394549369811
2,20,17,17,1,1,1.516320505142212
2,20,17,51,1,1,1.5168686151504516
2,20,17,85,1,1,1.5137700319290162
2,20,17,119,1,1,1.5158532536029816
2,20,17,153,1,1,1.5139653146266938
2,20,17,187,1,1,1.512727243900299
2,20,17,221,1,1,1.5151337635517121
2,20,17,255,1,1,1.5148938059806825
2,20,17,289,1,1,1.5121011888980866
2,20,17,323,1,1,1.5159138703346253
2,20,18,18,1,1,1.5155631411075592
2,20,18,54,1,1,1.5136011469364166
2,20,18,90,1,1,1.5164642190933229
2,20,18,126,1,1,1.5148213243484496
2,20,18,162,1,1,1.5165491485595703
2,20,18,198,1,1,1.5127748763561248
2,20,18,234,1,1,1.5157594740390778
2,20,18,270,1,1,1.5123473739624023
2,20,18,306,1,1,1.5144249451160432
2,20,18,342,1,1,1.5148926377296448
2,20,19,19,1,1,1.5171464347839356
2,20,19,57,1,1,1.512420690059662
2,20,19,95,1,1,1.514208915233612
2,20,19,133,1,1,1.5121068239212037
2,20,19,171,1,1,1.5146873915195465
2,20,19,209,1,1,1.5152723920345306
2,20,19,247,1,1,1.5161632776260376
2,20,19,285,1,1,1.5137095403671266
2,20,19,323,1,1,1.514292516708374
2,20,19,361,1,1,1.51267254114151
2,20,20,20,1,1,1.5166958796977996
2,20,20,60,1,1,1.5156470906734467
2,20,20,100,1,1,1.5133571791648865
2,20,20,140,1,1,1.5119657158851623
2,20,20,180,1,1,1.5174786591529845
2,20,20,220,1,1,1.5119123685359954
2,20,20,260,1,1,1.5145540988445283
2,20,20,300,1,1,1.5145296561717987
2,20,20,340,1,1,1.5155277895927428
2,20,20,380,1,1,1.5141822922229766
2,20,21,21,1,1,1.5141590070724487
2,20,21,63,1,1,1.5127110755443574
2,20,21,105,1,1,1.5127832901477813
2,20,21,147,1,1,1.515950767993927
2,20,21,189,1,1,1.5154245066642762
2,20,21,231,1,1,1.5165207493305206
2,20,21,273,1,1,1.5137977838516234
2,20,21,315,1,1,1.5136213576793671
2,20,21,357,1,1,1.513143104314804
2,20,21,399,1,1,1.516581324338913
