lamb,N,d,h,nb_layers,nb_head,loss
2,50,2,10,1,1,1.6794383764266967
2,50,2,10,2,1,1.683557105064392
2,50,2,10,3,1,1.679270361661911
2,50,2,10,4,1,1.6863295209407807
2,50,2,10,5,1,1.682313939332962
2,50,4,20,1,1,1.6470245766639708
2,50,4,20,2,1,1.6535926210880278
2,50,4,20,3,1,1.6536894178390502
2,50,4,20,4,1,1.659234403371811
2,50,4,20,5,1,1.6620602369308473
2,50,6,30,1,1,1.632529355287552
2,50,6,30,2,1,1.6349389386177062
2,50,6,30,3,1,1.6344130873680114
2,50,6,30,4,1,1.643197101354599
2,50,6,30,5,1,1.638992406129837
