lamb,N,d,h,nb_layers,nb_head,para_head,loss
2.1297311782836914,50,5,10,1,1,1,1.5934689807891846
2.1297311782836914,50,5,10,1,1,2,1.5735181713104247
2.1297311782836914,50,5,10,1,1,3,1.5418864393234253
2.1297311782836914,50,5,10,1,1,4,1.5519781947135924
2.1297311782836914,50,5,10,1,1,5,1.5516796851158141
2.1297311782836914,50,5,20,1,1,1,1.592113208770752
2.1297311782836914,50,5,20,1,1,2,1.5684793066978455
2.1297311782836914,50,5,20,1,1,3,1.5631243109703064
2.1297311782836914,50,5,20,1,1,4,1.566100127696991
2.1297311782836914,50,5,20,1,1,5,1.5421893882751465
2.1297311782836914,50,5,30,1,1,1,1.5952797985076905
2.1297311782836914,50,5,30,1,1,2,1.5590449476242065
2.1297311782836914,50,5,30,1,1,3,1.5594154024124145
2.1297311782836914,50,5,30,1,1,4,1.54941960811615
2.1297311782836914,50,5,30,1,1,5,1.5396570730209351
2.1297311782836914,50,5,40,1,1,1,1.575889801979065
2.1297311782836914,50,5,40,1,1,2,1.5647180795669555
2.1297311782836914,50,5,40,1,1,3,1.5511939334869385
2.1297311782836914,50,5,40,1,1,4,1.5476808261871338
2.1297311782836914,50,5,40,1,1,5,1.5525836443901062
2.1297311782836914,50,5,50,1,1,1,1.58193297624588
2.1297311782836914,50,5,50,1,1,2,1.5529306435585022
2.1297311782836914,50,5,50,1,1,3,1.5701964068412781
2.1297311782836914,50,5,50,1,1,4,1.5483695149421692
2.1297311782836914,50,5,50,1,1,5,1.5551344108581544
