lamb,N,d,h,nb_layers,nb_head,para_head,loss
2.745783567428589,100,10,0,3,1,1,1.771266143321991
2.745783567428589,100,10,0,3,1,2,1.752668616771698
2.745783567428589,100,10,0,3,1,3,1.739342954158783
2.745783567428589,100,10,0,3,1,4,1.7313345503807067
2.745783567428589,100,10,0,3,1,5,1.7270203518867493
2.745783567428589,100,10,0,3,1,6,1.7188692307472229
2.745783567428589,100,10,0,3,1,7,1.7080490899085998
2.745783567428589,100,10,0,3,1,8,1.695491030216217
2.745783567428589,100,10,100,3,1,1,1.7224667954444886
2.745783567428589,100,10,100,3,1,2,1.717438838481903
2.745783567428589,100,10,100,3,1,3,1.7066452050209044
2.745783567428589,100,10,100,3,1,4,1.7040724301338195
2.745783567428589,100,10,100,3,1,5,1.6992093205451966
2.745783567428589,100,10,100,3,1,6,1.6971717810630798
2.745783567428589,100,10,100,3,1,7,1.6938930439949036
2.745783567428589,100,10,100,3,1,8,1.6840447831153869
