lamb,N,d,h,nb_layers,nb_head,para_head,loss
2.282715082168579,60,2,2,1,1,1,1.7450069069862366
2.282715082168579,60,2,4,1,1,1,1.7409437012672424
2.282715082168579,60,2,6,1,1,1,1.745478732585907
2.282715082168579,60,2,8,1,1,1,1.7444215750694274
2.282715082168579,60,2,10,1,1,1,1.7480457282066346
2.282715082168579,60,2,12,1,1,1,1.7489210915565492
2.282715082168579,60,2,14,1,1,1,1.7484383606910705
2.282715082168579,60,2,16,1,1,1,1.7429966711997986
2.282715082168579,60,2,18,1,1,1,1.741319978237152
2.282715082168579,60,2,20,1,1,1,1.7426120257377624
2.282715082168579,60,2,22,1,1,1,1.7438123106956482
2.282715082168579,60,2,24,1,1,1,1.748505413532257
2.282715082168579,60,2,26,1,1,1,1.743461501598358
2.282715082168579,60,2,28,1,1,1,1.7524899983406066
2.282715082168579,60,4,2,1,1,1,1.684681887626648
2.282715082168579,60,4,4,1,1,1,1.6908759045600892
2.282715082168579,60,4,6,1,1,1,1.690646619796753
2.282715082168579,60,4,8,1,1,1,1.6883239841461182
2.282715082168579,60,4,10,1,1,1,1.6843688988685608
2.282715082168579,60,4,12,1,1,1,1.6863049244880677
2.282715082168579,60,4,14,1,1,1,1.6880579566955567
2.282715082168579,60,4,16,1,1,1,1.6789476037025453
2.282715082168579,60,4,18,1,1,1,1.6901664662361144
2.282715082168579,60,4,20,1,1,1,1.6800383305549622
2.282715082168579,60,4,22,1,1,1,1.6823145985603332
2.282715082168579,60,4,24,1,1,1,1.6871061825752258
2.282715082168579,60,4,26,1,1,1,1.6848379898071288
2.282715082168579,60,4,28,1,1,1,1.6928268384933471
2.282715082168579,60,6,2,1,1,1,1.6566290187835693
2.282715082168579,60,6,4,1,1,1,1.6589522671699524
2.282715082168579,60,6,6,1,1,1,1.6564870977401733
2.282715082168579,60,6,8,1,1,1,1.6437075543403625
2.282715082168579,60,6,10,1,1,1,1.6398477602005004
2.282715082168579,60,6,12,1,1,1,1.638888328075409
2.282715082168579,60,6,14,1,1,1,1.6244695997238159
2.282715082168579,60,6,16,1,1,1,1.6509768557548523
2.282715082168579,60,6,18,1,1,1,1.6342551922798156
2.282715082168579,60,6,20,1,1,1,1.6488225746154785
2.282715082168579,60,6,22,1,1,1,1.6341764831542969
2.282715082168579,60,6,24,1,1,1,1.6448967957496643
2.282715082168579,60,6,26,1,1,1,1.6374037766456604
2.282715082168579,60,6,28,1,1,1,1.6243255567550658
2.282715082168579,60,8,2,1,1,1,1.6185718894004821
2.282715082168579,60,8,4,1,1,1,1.6227882480621338
2.282715082168579,60,8,6,1,1,1,1.6256556844711303
2.282715082168579,60,8,8,1,1,1,1.6200345802307128
2.282715082168579,60,8,10,1,1,1,1.6200298190116882
2.282715082168579,60,8,12,1,1,1,1.6201283884048463
2.282715082168579,60,8,14,1,1,1,1.6038472533226014
2.282715082168579,60,8,16,1,1,1,1.6093609833717346
2.282715082168579,60,8,18,1,1,1,1.6135256695747375
2.282715082168579,60,8,20,1,1,1,1.6073379015922546
2.282715082168579,60,8,22,1,1,1,1.6122032976150513
2.282715082168579,60,8,24,1,1,1,1.609021656513214
2.282715082168579,60,8,26,1,1,1,1.619455246925354
2.282715082168579,60,8,28,1,1,1,1.5972317934036255
2.282715082168579,60,10,2,1,1,1,1.6035525727272033
2.282715082168579,60,10,4,1,1,1,1.6049371480941772
2.282715082168579,60,10,6,1,1,1,1.5938219261169433
2.282715082168579,60,10,8,1,1,1,1.5950087738037109
2.282715082168579,60,10,10,1,1,1,1.58712340593338
2.282715082168579,60,10,12,1,1,1,1.6012813258171081
2.282715082168579,60,10,14,1,1,1,1.5923476243019103
2.282715082168579,60,10,16,1,1,1,1.5838202238082886
2.282715082168579,60,10,18,1,1,1,1.5735970306396485
2.282715082168579,60,10,20,1,1,1,1.5906470608711243
2.282715082168579,60,10,22,1,1,1,1.580465099811554
2.282715082168579,60,10,24,1,1,1,1.5662756013870238
2.282715082168579,60,10,26,1,1,1,1.5794993400573731
2.282715082168579,60,10,28,1,1,1,1.56604163646698
