lamb,N,d,h,nb_layers,nb_head,para_head,loss
2.1297311782836914,50,2,100,0,1,1,1.6891768455505372
2.1297311782836914,50,2,100,1,1,1,1.705356125831604
2.1297311782836914,50,2,100,2,1,1,1.6936808705329895
2.1297311782836914,50,2,100,3,1,1,1.712167501449585
2.1297311782836914,50,2,100,4,1,1,1.7095865869522096
2.1297311782836914,50,2,100,5,1,1,1.7298325443267821
2.1297311782836914,50,6,100,0,1,1,1.6348587369918823
2.1297311782836914,50,6,100,1,1,1,1.5439724326133728
2.1297311782836914,50,6,100,2,1,1,1.501598618030548
2.1297311782836914,50,6,100,3,1,1,1.45795902967453
2.1297311782836914,50,6,100,4,1,1,1.4567649245262146
2.1297311782836914,50,6,100,5,1,1,1.4481765913963318
2.1297311782836914,50,10,100,0,1,1,1.6044008564949035
2.1297311782836914,50,10,100,1,1,1,1.4561414432525634
2.1297311782836914,50,10,100,2,1,1,1.3422741413116455
2.1297311782836914,50,10,100,3,1,1,1.2717695713043213
2.1297311782836914,50,10,100,4,1,1,1.2470942258834838
2.1297311782836914,50,10,100,5,1,1,1.210693554878235
2.1297311782836914,50,20,100,0,1,1,1.5601519060134887
2.1297311782836914,50,20,100,1,1,1,1.306193108558655
2.1297311782836914,50,20,100,2,1,1,1.0646071243286133
2.1297311782836914,50,20,100,3,1,1,0.936957106590271
2.1297311782836914,50,20,100,4,1,1,0.8551698231697082
2.1297311782836914,50,20,100,5,1,1,0.8177081942558289
