lamb,N,d,h,nb_layers,nb_head,para_head,loss
0.5228452086448669,10,2,100,1,1,1,0.7047206634283065
0.5228452086448669,10,4,100,1,1,1,0.39700386345386507
0.5228452086448669,10,6,100,1,1,1,0.2389530622959137
0.5228452086448669,10,8,100,1,1,1,0.18289434552192688
0.5228452086448669,10,10,100,1,1,1,0.14562853813171386
0.5228452086448669,10,12,100,1,1,1,0.17424360036849976
0.5228452086448669,10,14,100,1,1,1,0.14506140291690828
0.5228452086448669,10,16,100,1,1,1,0.14284523010253905
0.5228452086448669,10,18,100,1,1,1,0.15109800398349763
0.5228452086448669,10,20,100,1,1,1,0.16023475170135498
1.2699939012527466,20,2,100,1,1,1,1.4112419259548188
1.2699939012527466,20,6,100,1,1,1,0.9637749660015106
1.2699939012527466,20,10,100,1,1,1,0.7859571957588196
1.2699939012527466,20,14,100,1,1,1,0.7276697742938996
1.2699939012527466,20,18,100,1,1,1,0.6404641389846801
1.2699939012527466,20,22,100,1,1,1,0.6528406381607056
1.2699939012527466,20,26,100,1,1,1,0.6045665740966797
1.2699939012527466,20,30,100,1,1,1,0.6306911468505859
1.2699939012527466,20,34,100,1,1,1,0.6148348414897918
1.2699939012527466,20,38,100,1,1,1,0.5787031662464142
1.7066826820373535,30,2,100,1,1,1,1.5617991232872008
1.7066826820373535,30,8,100,1,1,1,1.2437091231346131
1.7066826820373535,30,14,100,1,1,1,1.070001323223114
1.7066826820373535,30,20,100,1,1,1,1.0018272399902344
1.7066826820373535,30,26,100,1,1,1,0.9251069331169128
1.7066826820373535,30,32,100,1,1,1,0.919737102985382
1.7066826820373535,30,38,100,1,1,1,0.8784653854370117
1.7066826820373535,30,44,100,1,1,1,0.9116052079200745
1.7066826820373535,30,50,100,1,1,1,0.8875677943229675
1.7066826820373535,30,56,100,1,1,1,0.8977497267723084
1.9248303174972534,40,2,100,1,1,1,1.632460936307907
1.9248303174972534,40,10,100,1,1,1,1.3440080964565277
1.9248303174972534,40,18,100,1,1,1,1.1739279997348786
1.9248303174972534,40,26,100,1,1,1,1.0998080599308013
1.9248303174972534,40,34,100,1,1,1,1.0580664789676666
1.9248303174972534,40,42,100,1,1,1,1.0160218179225922
1.9248303174972534,40,50,100,1,1,1,1.0192239320278167
1.9248303174972534,40,58,100,1,1,1,1.0192763698101044
1.9248303174972534,40,66,100,1,1,1,1.0027808082103729
1.9248303174972534,40,74,100,1,1,1,0.998335565328598
2.1297311782836914,50,2,100,1,1,1,1.6997014427185058
2.1297311782836914,50,12,100,1,1,1,1.4041653275489807
2.1297311782836914,50,22,100,1,1,1,1.2828795719146728
2.1297311782836914,50,32,100,1,1,1,1.2148240685462952
2.1297311782836914,50,42,100,1,1,1,1.1867346668243408
2.1297311782836914,50,52,100,1,1,1,1.1573959708213806
2.1297311782836914,50,62,100,1,1,1,1.140028591156006
2.1297311782836914,50,72,100,1,1,1,1.1467414045333861
2.1297311782836914,50,82,100,1,1,1,1.1127662324905396
2.1297311782836914,50,92,100,1,1,1,1.1275421595573425
2.745783567428589,100,2,100,1,1,1,1.8312404799461364
2.745783567428589,100,22,100,1,1,1,1.6684880232810975
2.745783567428589,100,42,100,1,1,1,1.5606124711036682
2.745783567428589,100,62,100,1,1,1,1.5142376160621642
2.745783567428589,100,82,100,1,1,1,1.4841406226158143
2.745783567428589,100,102,100,1,1,1,1.4627468752861024
2.745783567428589,100,122,100,1,1,1,1.4457470536231996
2.745783567428589,100,142,100,1,1,1,1.4540016770362854
2.745783567428589,100,162,100,1,1,1,1.4382678437232972
2.745783567428589,100,182,100,1,1,1,1.4539646649360656
