acc,para,N,d,d_head
0.08755078124999999,1,70,10,10
0.17686718750000002,5,70,10,10
0.28863281250000006,9,70,10,10
0.38319140625000003,13,70,10,10
0.46391406249999995,17,70,10,10
0.5434140624999999,21,70,10,10
