acc,para,N,d,d_head,width
0.21195312500000002,1,50,13,13,26
0.48760742187500006,1,50,13,13,156
0.755615234375,1,50,13,13,286
0.8616650390625,1,50,13,13,416
0.98658203125,1,50,13,13,546
0.9803466796875,1,50,13,13,676
