acc,para,N,d,d_head,width
0.19491455078125,1,50,13,13,0
0.9805029296875001,1,50,13,13,130
0.98622802734375,1,50,13,13,260
0.97357177734375,1,50,13,13,390
1.0,1,50,13,13,520
