acc,para,N,d,d_head,width
0.05409765625,1,70,7,7,0
0.12227929687500001,6,70,7,7,70
0.169375,11,70,7,7,140
0.185224609375,16,70,7,7,210
0.20583398437499997,21,70,7,7,280
0.228017578125,26,70,7,7,350
0.23860156249999998,31,70,7,7,420
