lamb,N,d,h,nb_layers,nb_head,para_head,loss,unif_loss,best_loss
4.114760875701904,100,10,100,2,1,2,0.48660027503967285,0.4904093102861875,0.4784534549713135
3.8906538486480713,100,10,100,2,1,2,0.7075240969657898,0.7145163373400205,0.6851296591758728
3.6287789344787598,100,10,100,2,1,2,0.9630053186416626,0.976391251509332,0.9030274200439453
3.3335580825805664,100,10,100,2,1,2,1.248827428817749,1.2716121034075254,1.0956367206573487
3.011442184448242,100,10,100,2,1,2,1.5365483379364013,1.5937280015398496,1.24312105178833
2.670957088470459,100,10,100,2,1,2,1.8063408279418944,1.9342130975176328,1.3425210666656495
2.322340488433838,100,10,100,2,1,2,2.057893056869507,2.282829697554254,1.3868304252624513
1.9768755435943604,100,10,100,2,1,2,2.2060434365272523,2.6282946423937315,1.3759687757492065
1.6458759307861328,100,10,100,2,1,2,2.301007106304169,2.959294255201959,1.3000949931144714
1.3393807411193848,100,10,100,2,1,2,2.314121971130371,3.265789444868707,1.2098196053504944
1.065401315689087,100,10,100,2,1,2,2.260233476161957,3.539768870299005,1.0896693634986878
0.8289100527763367,100,10,100,2,1,2,2.163522620201111,3.776260133211755,0.9852578592300415
0.6315973401069641,100,10,100,2,1,2,1.975018811225891,3.9735728458811277,0.8492336893081665
0.4722336232662201,100,10,100,2,1,2,1.8021828758716583,4.132936562721872,0.7594474744796753
0.3472880721092224,100,10,100,2,1,2,1.6039520001411438,4.257882113878869,0.6429151010513305
0.2518845796585083,100,10,100,2,1,2,1.3751956164836883,4.3532856063295835,0.5657441008090973
0.180678129196167,100,10,100,2,1,2,1.1749167466163635,4.424492056791925,0.4871499520540237
0.12852276861667633,100,10,100,2,1,2,0.9670847654342651,4.4766474173714155,0.42554272890090944
0.09089065343141556,100,10,100,2,1,2,0.8277108347415925,4.514279532556676,0.3842864847183228
0.06404702365398407,100,10,100,2,1,2,0.6698435378074646,4.541123162334108,0.3322423380613327
